Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Sadiq R., Akhtar Z., Imran M., Ofli F.","57411832700;57373627700;55598006500;24778637900;","Integrating remote sensing and social sensing for flood mapping",2022,"Remote Sensing Applications: Society and Environment","25",,"100697","","",,2,"10.1016/j.rsase.2022.100697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122793892&doi=10.1016%2fj.rsase.2022.100697&partnerID=40&md5=bcda7cf7d20576070fc4e4730bc0e6f9","Qatar Computing Research Institute, Hamad Bin Khalifa UniversityDoha, Qatar","Sadiq, R., Qatar Computing Research Institute, Hamad Bin Khalifa UniversityDoha, Qatar; Akhtar, Z., Qatar Computing Research Institute, Hamad Bin Khalifa UniversityDoha, Qatar; Imran, M., Qatar Computing Research Institute, Hamad Bin Khalifa UniversityDoha, Qatar; Ofli, F., Qatar Computing Research Institute, Hamad Bin Khalifa UniversityDoha, Qatar","Flood events cause substantial damage to infrastructure and disrupt livelihoods. Timely monitoring of flood extent helps authorities identify severe impacts and plan relief operations. Remote sensing through satellite imagery is an effective method to identify flooded areas. However, critical contextual information about the severity of structural damage or urgent needs of affected population cannot be obtained from remote sensing alone. On the other hand, social sensing through microblogging sites can potentially provide useful information directly from eyewitnesses and affected people. Therefore, this paper explores the integration of remote sensing and social sensing data to derive informed flood extent maps. For this purpose, we employ state-of-the-art deep learning methods to process heterogeneous data obtained from four case-study areas, including two urban regions from Somalia and India and two coastal regions from Italy and The Bahamas. On the remote sensing side, we observe that deep learning models perform generally better than Otsu in flood water prediction. For example, for highly urban areas from Somalia and India, U-Net achieves better F1-scores (0.471 and 0.310, respectively) than Otsu (0.297 and 0.251, respectively). Similarly, for coastal areas, FCN yields a better F1-score for Italy (0.128) than Otsu (0.083) while FCN and Otsu perform on par for The Bahamas (0.102 and 0.105, respectively). Then, on the social sensing side, we add two data layers representing relevant tweet text and images posted from the case-study regions to highlight different ways these heterogeneous data sources complement each other. Our extensive analyses reveal several valuable insights. In particular, we identify three types of signals: (i) confirmatory signals from both sources, which puts greater confidence that a specific region is flooded, (ii) complementary signals that provide different contextual information including needs and requests, disaster impact or damage reports and situational information, and (iii) novel signals when both data sources do not overlap and provide unique information. © 2022 The Authors","Deep learning; Flood mapping; Remote sensing; Satellite imagery; Social media",,Article,"Final","",Scopus,2-s2.0-85122793892
"Bharath S.M., Manoj S., Adhappa P., Patagar P.L., Bhaskar R.","24478553700;57865455600;57352547700;57352392100;57214486610;","Crop Yield Prediction with Efficient Use of Fertilizers",2022,"Lecture Notes in Electrical Engineering","783",,,"937","943",,,"10.1007/978-981-16-3690-5_87","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119881337&doi=10.1007%2f978-981-16-3690-5_87&partnerID=40&md5=5520f2bb431c4ec07b5c406d8009c177","Department of CSE, DBIT, Bengaluru, India","Bharath, S.M., Department of CSE, DBIT, Bengaluru, India; Manoj, S., Department of CSE, DBIT, Bengaluru, India; Adhappa, P., Department of CSE, DBIT, Bengaluru, India; Patagar, P.L., Department of CSE, DBIT, Bengaluru, India; Bhaskar, R., Department of CSE, DBIT, Bengaluru, India","Agriculture in India is the backbone of the economy, and contributes to the GDP of the country. Yet the farmer’s won’t get enough money. It is mostly due to insufficient irrigation or crop quality, or crop yield is less than expected at times. Use temperature, soil, moisture, ph sensor, we can evaluate the land and we can estimate how much yield we get. This forecast will help farmers select appropriate crops by soil type, temperature, humidity, soil pH, season, fertilizer and months. This prediction can be accomplished by means of the support-vector machine learning algorithm. World population is growing, and adequate production of crops is required. Monitoring crop growth and predicting yields is highly important to the economic development of a country. The estimation of crop yields has a direct impact on national and international economies, and plays a significant role in food health and food safety. Deep learning is gaining popularity in crop control, crop type recognition, and crop yield estimation applications with recent advances in image recognition using deep Convolutionary Neural Networks. Current crop yield prediction approaches focused on remote sensing are composed of classical machine learning methods such as supporting vector machines and decision trees. Because India is an agricultural country and is primarily dependent on agriculture and agro-industrial products development in its economy. New research into the study of crop yields is Data Mining. Renders are a very critical concern in agriculture forecasting. Each farmer needs to see how much he can produce. Analyze the various associated characteristics, such as the position, from which pH of the soil alkalinity is measured. Create a web-based system to display the farmers’ outcomes on the basis of their vote. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Crop yield; Deep learning; Farmers machine learning","Alkalinity; Crops; Data mining; Decision trees; Deep learning; Economics; Fertilizers; Forecasting; Image recognition; Remote sensing; Soils; Support vector machines; Crop quality; Crop yield; Deep learning; Farmer machine learning; Machine learning algorithms; Quality yield; Soil pH; Soil types; Temperature/ humidities; Yield prediction; Learning algorithms",Conference Paper,"Final","",Scopus,2-s2.0-85119881337
"Kavita, Mathur P.","57210703479;56663892400;","Satellite-based Crop Yield Prediction using Machine Learning Algorithm",2021,"2021 Asian Conference on Innovation in Technology, ASIANCON 2021",,,,"","",,1,"10.1109/ASIANCON51346.2021.9544562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117604434&doi=10.1109%2fASIANCON51346.2021.9544562&partnerID=40&md5=978682e7beae0ae7a04e39e715c1f6bf","Manipal University Jaipur, Information Technology, Jaipur, India","Kavita, Manipal University Jaipur, Information Technology, Jaipur, India; Mathur, P., Manipal University Jaipur, Information Technology, Jaipur, India","Agriculture is the backbone of India's economy as 70% of the population's household is dependent on agriculture. Crop yield prediction is a crucial step for food security, market planning, and yield mapping. Machine learning with remote sensing has shown magnificent results for crop yield prediction. In this research, the authors implemented machine learning techniques along with the remote sensing data to extract features. Support Vector Machine and K-Nearest Neighbor- techniques have shown outstanding results - are implemented to predict the crop yield using remote sensing data. Authors focused on distinguish parts of a satellite image based on the vegetation for a few months and then finding the relation between their Normalized Difference Vegetation Index values and vegetation similarly, and also found out that vegetation of the same crop field varies over the months and on further computations, we can predict the crop growth in that particular area. For this research, K-Nearest Neighbor outperformed Support Vector Machine. © 2021 IEEE.","Crop prediction; Machine learning; NDVI; Remote sensing","Food supply; Forecasting; Learning algorithms; Nearest neighbor search; Remote sensing; Support vector machines; Vegetation; Crop prediction; Crop yield; Food security; Machine learning algorithms; NDVI; Remote sensing data; Remote-sensing; Securities market; Support vectors machine; Yield prediction; Crops",Conference Paper,"Final","",Scopus,2-s2.0-85117604434
"Pandit K., Singh M., Sharma S., Sandhu H.A.S., Sahoo J.P.","57201456461;57421997600;57201085663;57102885700;55171499200;","Back-Analysis of a Debris Slope through Numerical Methods and Field Observations of Slope Displacements",2021,"Indian Geotechnical Journal","51","4",,"811","828",,,"10.1007/s40098-021-00553-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107726505&doi=10.1007%2fs40098-021-00553-4&partnerID=40&md5=1fb04254269b4c47c41c0f7153eed238","Department of Civil Engineering, IIT Roorkee, Roorkee, Uttarakhand  247 667, India; Department of Civil Engineering, Punjab Engineering College, Chandigarh, 160 012, India; Department of Civil Engineering, IIT Kanpur, Kanpur, Uttar Pradesh  208 016, India","Pandit, K., Department of Civil Engineering, IIT Roorkee, Roorkee, Uttarakhand  247 667, India; Singh, M., Department of Civil Engineering, IIT Roorkee, Roorkee, Uttarakhand  247 667, India; Sharma, S., Department of Civil Engineering, Punjab Engineering College, Chandigarh, 160 012, India; Sandhu, H.A.S., Department of Civil Engineering, Punjab Engineering College, Chandigarh, 160 012, India; Sahoo, J.P., Department of Civil Engineering, IIT Kanpur, Kanpur, Uttar Pradesh  208 016, India","Back-analysis of a landslide-prone site is often felt required to estimate the physical and geo-mechanical parameters of geo-materials present in it. For this, a combination of numerical techniques like Limit Equilibrium Method (LEM) and Finite Element Method (FEM) are utilized to inversely compute the engineering properties by validating the observed field data which is often the slope displacements recorded over a period of time. This approach is suitable for realistic stability assessment, reliable prediction and competent engineering design of landslide control measures. The present case study area is located near the Tehri Dam in Tehri Garhwal District of the Uttarakhand State, India. The landslide, known as the 12.55 km slide, is situated on the right bank of Bhagirathi River, approximately 13 km away from Tehri Dam in the river downstream. The stability of this slide is important since it often blocks the connecting road between Tehri Dam and Koteshwar Dam. This road is vital for the dam operation as well as for the locality. Hence, stability assessment and long-term monitoring of this slope is significantly important. For this, at first, a typical cross section parallel to the main sliding direction is selected and profiled for the stability assessment. This prevailing slope is then analysed using probabilistic limit equilibrium method. The shear strength properties of the slope debris materials were adopted as the random variables following normal distribution for determining its probabilistic factor of safety. After it, the mobilized shear strength parameters are back-analysed for a target safety factor of 1.0 (i.e. the critically stable slope condition). Since the landslide is reported to be moving slowly along the controlling shearing plane, the shear strength of the slip surface has either come close to or reached its long-term strength. It is then followed by a finite element stress analysis of the slope based on Mohr–Coulomb yield criterion for the debris and rock mass materials. From this analysis, slope displacements at the road level are documented and the elastic parameters (i.e. elastic modulus and Poisson’s ratio) are back-calculated to validate the observed slope displacements at road level from remote sensing interpretation over the years. In this way, a parametric analysis has been performed by varying both the elastic parameters and validating the road level displacements for recent past years. Once, the elastic parameters are validated based on actual slope displacements, the corresponding mobilized shear strength parameters are also revised for the study duration. Finally, these new set of shear strength parameters were utilized to obtain the global safety level of the slope as well as the year wise road displacements. The present study prepares a base work for a calibrated long-term monitoring of the slope displacements and will be useful for slope strengthening measure designs. © 2021, Indian Geotechnical Society.","Back-analysis; Finite element; Limit equilibrium; Probabilistic methods; Remote sensing; Slope displacement","Dams; Debris; Elasticity; Landslides; Normal distribution; Numerical methods; Remote sensing; Roads and streets; Safety factor; Shear strength; Stress analysis; System stability; Coulomb yield criteria; Engineering properties; Finite element stress analysis; Limit equilibrium methods; Mechanical parameters; Probabilistic factors; Remote sensing interpretation; Shear strength parameters; Finite element method; back analysis; Coulomb criterion; debris flow; displacement; finite element method; landslide; Mohr theory; numerical method; probability; remote sensing; shear strength; slope dynamics; slope stability; slope stabilization; India; Tehri Dam; Uttarakhand; Uttarakhand",Article,"Final","",Scopus,2-s2.0-85107726505
"Shah A., Agarwal R., Baranidharan B.","57223139036;57223129976;53866078700;","Crop Yield Prediction Using Remote Sensing and Meteorological Data",2021,"Proceedings - International Conference on Artificial Intelligence and Smart Systems, ICAIS 2021",,,"9395849","952","960",,2,"10.1109/ICAIS50930.2021.9395849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104932791&doi=10.1109%2fICAIS50930.2021.9395849&partnerID=40&md5=9cc31f653c309684b3e6f8120685eecc","Srm Institute of Science and Technology, Department of Computer Science Engineering, Kattankulathur, Chennai, India","Shah, A., Srm Institute of Science and Technology, Department of Computer Science Engineering, Kattankulathur, Chennai, India; Agarwal, R., Srm Institute of Science and Technology, Department of Computer Science Engineering, Kattankulathur, Chennai, India; Baranidharan, B., Srm Institute of Science and Technology, Department of Computer Science Engineering, Kattankulathur, Chennai, India","Proper agricultural planning is important in a vast country like India due to regular occurrence of floods, droughts, and extreme weather conditions. The farmers need to have prior knowledge regarding expected crop yield and crop condition in their specific area to make their financial and agricultural decisions accordingly. In the past any kind of agricultural assessment was based on manual survey and data collection, but this outdated approach has been made more precise with easy access to Remote Sensing Data. Remote Sensing has made distinguishing land cover and vegetation much easier with the assistance of Normalized Difference Vegetative Index (NDVI). This paper proposes a recommendation framework, which will not only predict the Crop Yield with the help of various Machine Learning and statistical algorithm like XGBoost, Gradient Boosting but also extract trends by evaluating various parameters such as NDVI Rainfall, Temperature, Air Quality Index (AQI) etc. © 2021 IEEE.","Crop Yield; Gradient Boosting; Machine Learning; Mape; MODIS; NDVI; XGboost","Adaptive boosting; Agricultural robots; Air quality; Crops; Machine learning; Meteorology; Vegetation; Agricultural planning; Air quality indices; Extreme weather conditions; Gradient boosting; Meteorological data; Normalized differences; Remote sensing data; Statistical algorithm; Remote sensing",Conference Paper,"Final","",Scopus,2-s2.0-85104932791
"Saravanan S., Jennifer J.J., Singh L., Thiyagarajan S., Sankaralingam S.","57215078820;57204829983;57204826695;55900630800;57222257396;","Impact of land-use change on soil erosion in the Coonoor Watershed, Nilgiris Mountain Range, Tamil Nadu, India",2021,"Arabian Journal of Geosciences","14","5","407","","",,6,"10.1007/s12517-021-06817-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102081788&doi=10.1007%2fs12517-021-06817-w&partnerID=40&md5=fe9f5c6fc1c43b3bb72ed9c12db65438","Department of Civil Engineering, National Institute of Technology, Tiruchirappalli, India; Department of Geography, Bharathidasan University, Tiruchirappalli, India","Saravanan, S., Department of Civil Engineering, National Institute of Technology, Tiruchirappalli, India; Jennifer, J.J., Department of Civil Engineering, National Institute of Technology, Tiruchirappalli, India; Singh, L., Department of Civil Engineering, National Institute of Technology, Tiruchirappalli, India; Thiyagarajan, S., Department of Civil Engineering, National Institute of Technology, Tiruchirappalli, India; Sankaralingam, S., Department of Geography, Bharathidasan University, Tiruchirappalli, India","The conversion of native forest to the tea plantation and cropland has intensified throughout the Coonoor watershed of the Nilgiris region over the past few decades. The current study investigates the severity of land cover changes including deforestation activities in the Coonoor watershed region as a result of urbanization, along with the establishment of recreational parks, resorts and tea plantations. In order to analyse the changes, a widely used soil erosion model say Revised Universal Soil Loss Equation (RUSLE) is opted to estimate the average soil loss. Therefore, this work marks the impact of land-use changes on land degradation and the consequent vital natural phenomenon like soil erosion. The change detection was carried out for over 14 years period from 2005 to 2018. Landsat images of corresponding years were classified using the supervised classification technique. The C-factor (cover and management factor) for the corresponding periods were also identified. Conversion of forest land into tea plantations, wastelands and settlements significantly decrease the soil organic matter (SOM) and hydraulic conductivity (HC) of the soil, which leads to a difference in the K-factor (soil erodibility factor) throughout the study period, whereas the R-factor (rainfall and runoff factor) and LS-factor (length-slope factor) were considered to be constant throughout the period. Results indicate the annual soil loss during the period from 2000 to 2018 on each land use/cover classes. viz., tea plantations, 223.26 km2; settlement, 163.35 km2; open forest, 799.02 km2; dense forest, 1158.48 km2; and barren land, 27.18 km2. The total sediment yield in the study area was found to have oddly increased due to the land use/cover changes. The significant rise of soil erosion was found evitable in the deforested region which was converted to infrastructure and wasteland. © 2021, Saudi Society for Geosciences.","Coonoor watershed; Erosion prediction; India; Nilgiris; Remote sensing; RUSLE; Soil loss","deforestation; hydraulic conductivity; land cover; land degradation; land use change; Revised Universal Soil Loss Equation; satellite imagery; sediment yield; soil erosion; soil organic matter; supervised classification; urbanization; watershed; India; Nilgiri Hills; Tamil Nadu; Western Ghats",Article,"Final","",Scopus,2-s2.0-85102081788
"Agnihotri D., Kumar T., Jhariya D.","57115015600;55942581000;56520268400;","Intelligent vulnerability prediction of soil erosion hazard in semi-arid and humid region",2021,"Environment, Development and Sustainability","23","2",,"2524","2551",,5,"10.1007/s10668-020-00685-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082949112&doi=10.1007%2fs10668-020-00685-2&partnerID=40&md5=8829e608b2467b1a43a73746649f2e68","Department of Computer Applications, National Institute of Technology Raipur, Raipur, Chhattisgarh, India; Department of Soil and Water Engineering (SMS), Krishi Vigyan Kendra (KVK), Saraiya, Muzaffarpur, India; Department of Applied Geology, National Institute of Technology Raipur, Raipur, Chhattisgarh, India","Agnihotri, D., Department of Computer Applications, National Institute of Technology Raipur, Raipur, Chhattisgarh, India; Kumar, T., Department of Soil and Water Engineering (SMS), Krishi Vigyan Kendra (KVK), Saraiya, Muzaffarpur, India; Jhariya, D., Department of Applied Geology, National Institute of Technology Raipur, Raipur, Chhattisgarh, India","Soil erosion by water and other anthropogenic activities in the semi-arid and humid region is noticed as a major issue in the reduction in natural land by the loss of soil nutrients. The seven standard parameters were suggested in the literature for the assessment of soil erosion hazard, viz. soil loss, sediment yield, run-off potential, land capability class, drainage density, sediment transport index, and slope. In the present study, the combination of intelligent vulnerability prediction, multi-criteria decision-making, and geographic information system techniques provides an effective approach to identify the soil erosion hazard in the semi-arid and humid region. It makes this process more effective and efficient as the vulnerability of soil erosion hazard can be predicted by the proposed trained models for any locations that have the streamlined values of above seven parameters as suggested in this paper. The standard machine learning classifiers such as k-nearest neighbour, decision tree, random forest (RF), multinomial naive bays, adaptive boosting, and gradient adaptive boosting (GAB) have been applied on the spatial data set of “Pairi” river watershed found in “Chhattisgarh”, India. There are five categories of soil abrasion, viz. “very low”, “low”, “medium”, “high”, and “very high”, in this data set that represents an index of soil erosion hazard. The experimental results have given 91.5140% and 90.5525% accuracy using RF and GAB, respectively, whereas a much better log-loss measure, i.e. 0.27, is obtained by the GAB in comparison of 0.93 with RF. The results have been verified by visiting the ground truth locations. © 2020, Springer Nature B.V.","Geographic information system (GIS); Machine Learning; Remote sensing; Soil erosion hazard; Watershed management","human activity; humid environment; machine learning; runoff; semiarid region; soil erosion; soil nutrient; vulnerability; watershed; Chhattisgarh; India",Article,"Final","",Scopus,2-s2.0-85082949112
"Bhartra D., Manohar A.M., Vohra D., Shreyas Bharadwaj V., Srinivas K.S.","57447823600;57215429165;57447082900;57447208200;57219795186;","Agricultural Yield Estimation of Various Crops in Southern India Using Vegetation Index",2021,"2021 8th International Conference on Soft Computing and Machine Intelligence, ISCMI 2021",,,,"96","100",,,"10.1109/ISCMI53840.2021.9654802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124408014&doi=10.1109%2fISCMI53840.2021.9654802&partnerID=40&md5=f9ae93029508401caeedc59d9d20e7dd","PES University, Dept of CSE, Bengaluru, India","Bhartra, D., PES University, Dept of CSE, Bengaluru, India; Manohar, A.M., PES University, Dept of CSE, Bengaluru, India; Vohra, D., PES University, Dept of CSE, Bengaluru, India; Shreyas Bharadwaj, V., PES University, Dept of CSE, Bengaluru, India; Srinivas, K.S., PES University, Dept of CSE, Bengaluru, India","The Agri-Tech Industry in India is still in its nascent stage and is primed for huge growth. A lot of the current problems faced in the Agriculture Industry in India can be tackled with the help of technology and making use of the available data. One such problem is the abundance of certain crops and the scarcity of others, often caused because the farmers do not have enough experience with trying out a variety of crops that might give better yield as compared to their existing choices that they have been planting on their lands for generations. We aim to help farmers in choosing the right crops to grow, by providing them with prospective results that they can look to achieve if they do invest in those crops on their farmland. We intend to achieve this by using a predictive model which learns trends for yield and therefore crop viability, using a factor called the Normalized Difference Vegetation Index or NDVI, which has proven to be a successful parameter in making crop related predictions in other regions across the world, for certain crops. © 2021 IEEE.","agriculture; forecasting; machine learning; MODIS; NDVI; remote-sensing","Machine learning; Remote sensing; Vegetation; Agricultural yields; Agriculture industries; Current problems; NDVI; Plantings; Prospectives; Remote-sensing; Southern India; Vegetation index; Yield estimation; Crops",Conference Paper,"Final","",Scopus,2-s2.0-85124408014
"Astor T., Wachendorf M.","57205148191;6601980015;","Biomass Estimation of Vegetables—Can Remote Sensing Be a Tool for It?",2021,"Urban Book Series",,,,"95","102",,,"10.1007/978-3-030-79972-4_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115707245&doi=10.1007%2f978-3-030-79972-4_9&partnerID=40&md5=cfaa54db98803fcbc1edf8d54b43feeb","Grassland Science and Renewable Plant Resources, University of Kassel, Witzenhausen, 37213, Germany","Astor, T., Grassland Science and Renewable Plant Resources, University of Kassel, Witzenhausen, 37213, Germany; Wachendorf, M., Grassland Science and Renewable Plant Resources, University of Kassel, Witzenhausen, 37213, Germany","Precision agriculture for vegetable crops has received little interest so far, although remote sensing (RS) has been used as an effective tool to monitor other agricultural production systems. The aim of this study therefore was to assess the applicability of RS imagery for capturing crop height information of three vegetable crops (eggplant, tomato, cabbage) during a complete growth cycle to infer biomass. Additionally, the effect of crop development stage on the relationship between estimated crop height and field measured crop height was examined. The study was conducted in an experimental layout at the University of Agricultural Sciences Bangalore in Bengaluru, India. Crop height and the biomass were measured at five dates during the crop growth cycle between February and May 2017. The prediction accuracy varied strongly depending on the applied statistical approach. For all crops, a good predictive performance with a cross-validated prediction error &lt;20% was achieved. The growth stage of the crops had no significant effect on the prediction accuracy, although increasing trends of an underestimation of fresh matter biomass at later sampling dates were found for eggplant and tomato. The study proves that the estimation of vegetable biomass using RS data is successful throughout the growing season. © 2021, Springer Nature Switzerland AG.","Biomass estimation; Crop phenology; Factorial experiment; Hyperspectral imaging; Machine learning; Remote sensing; Vegetable crops; Yield",,Book Chapter,"Final","",Scopus,2-s2.0-85115707245
"Ranjan A.K., Parida B.R.","57214879914;23989756500;","Predicting paddy yield at spatial scale using optical and Synthetic Aperture Radar (SAR) based satellite data in conjunction with field-based Crop Cutting Experiment (CCE) data",2021,"International Journal of Remote Sensing","42","6",,"2046","2071",,11,"10.1080/01431161.2020.1851063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098640672&doi=10.1080%2f01431161.2020.1851063&partnerID=40&md5=6cd3382db4c2480377fce7b70c5a4f0f","Department of Geoinformatics, School of Natural Resource Management, Central University of Jharkhand, Ranchi, Jharkhand, India","Ranjan, A.K., Department of Geoinformatics, School of Natural Resource Management, Central University of Jharkhand, Ranchi, Jharkhand, India; Parida, B.R., Department of Geoinformatics, School of Natural Resource Management, Central University of Jharkhand, Ranchi, Jharkhand, India","The accurate, reliable, and robust information on crop yield has great importance in food security measures. In this study, both optical (Moderate Resolution Imaging Spectroradiometer (MODIS)-derived Normalized Difference Vegetation Index (NDVI) and Enhanced Vegetation Index (EVI)) and Synthetic Aperture Radar (SAR) (Sentinel-1A) satellite datasets were used for predicting paddy yield at a spatial scale in conjunction with Crop Cutting Experiment (CCE) data in Sahibganj district of the Jharkhand state (India) during the monsoon season 2017. The yield prediction models were developed from linear (LR) and multiple regression (MR) analysis. The AquaCrop model was also employed to simulate the paddy yield. The key findings showed that the MR-based yield model developed from SAR (Vertical transmission and Vertical reception (VV) + Vertical transmission and Horizontal reception (VH) polarizations) data was more accurate, reasonable, and reliable as compared to the optical-based (NDVI + EVI) MR yield model. The SAR-based MR yield model showed better accuracy between predicted and observed yield (CCE) as evaluated using Nash-Sutcliffe Efficiency (NSE = 0.68). However, the optical-based MR yield model showed relatively lower accuracy (NSE = 0.62). The relative deviation (RD) of the predicted yield from the SAR and optical-based MR model was nearly 3% and 4%, respectively. Using the AquaCrop model, the simulated yield was underestimated by approximately 4%. We conclude that the SAR-based MR-yield model outperformed the optical-based model to predict paddy yield at a spatial scale, and the adopted methodology can beneficial for decision-makers withing agriculture monitoring. Hence, satellite imagery has always been a reliable source for yield forecasting and crop assessment at a regional and national scale. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",,"Agricultural robots; Crops; Decision making; Food supply; Forecasting; Predictive analytics; Radar imaging; Radiometers; Satellite imagery; Synthetic aperture radar; Transmissions; Vegetation; Agriculture monitoring; Enhanced vegetation index; Moderate resolution imaging spectroradiometer; Multiple regressions; Normalized difference vegetation index; Relative deviations; Vertical transmission; Yield prediction models; Space-based radar; accuracy assessment; crop yield; decision making; MODIS; paddy field; remote sensing; satellite data; satellite imagery; synthetic aperture radar; yield response; India; Jharkhand; Sahibganj",Article,"Final","",Scopus,2-s2.0-85098640672
[No author name available],[No author id available],"2020 IEEE India Geoscience and Remote Sensing Symposium, InGARSS 2020 - Proceedings",2020,"2020 IEEE India Geoscience and Remote Sensing Symposium, InGARSS 2020 - Proceedings",,,,"","",247,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102239591&partnerID=40&md5=88e54d1db02e4079a506f5290b8238b8",,"","The proceedings contain 59 papers. The topics discussed include: burnt area detection using SAR data - a case study of May, 2020 Uttarakand forest fire; crop yield prediction using integration of polarimteric synthetic aperture radar and optical data; monitoring water hyacinth in Kuttanad, India using Sentinel-1 SAR data; field investigations of black carbon concentration in ambient air quality of a megacity: a case study of Ahmedabad; land use changes and their effects on urban ecosystem services value: a study of Khulna City, Bangladesh; the novel camouflaged false color composite s for the vegetation verified by novel sample level mirror mosaicking based convolutional neural network; and estimation of the green and blue water footprint of Kharif rice using remote sensing techniques: a case study of Ranchi.",,,Conference Review,"Final","",Scopus,2-s2.0-85102239591
"Astor T., Dayananda S., Nautiyal S., Wachendorf M.","57205148191;57202233322;7003824834;6601980015;","Vegetable crop biomass estimation using hyperspectral and RGB 3D UAV data",2020,"Agronomy","10","10 October","1600","","",,9,"10.3390/agronomy10101600","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094663108&doi=10.3390%2fagronomy10101600&partnerID=40&md5=1c5bbd25a4c747b8e84861786c25f807","Grassland Science and Renewable Plant Resources Organic Agricultural Sciences, Universität Kassel, Witzenhausen, D-37213, Germany; Centre for Ecological Economics and Natural Resources, Institute for Social and Economic Change, Dr. VKRV Rao Road, Nagarabhavi, Bangalore, 560072, India","Astor, T., Grassland Science and Renewable Plant Resources Organic Agricultural Sciences, Universität Kassel, Witzenhausen, D-37213, Germany; Dayananda, S., Grassland Science and Renewable Plant Resources Organic Agricultural Sciences, Universität Kassel, Witzenhausen, D-37213, Germany; Nautiyal, S., Centre for Ecological Economics and Natural Resources, Institute for Social and Economic Change, Dr. VKRV Rao Road, Nagarabhavi, Bangalore, 560072, India; Wachendorf, M., Grassland Science and Renewable Plant Resources Organic Agricultural Sciences, Universität Kassel, Witzenhausen, D-37213, Germany","Remote sensing (RS) has been an effective tool to monitor agricultural production systems, but for vegetable crops, precision agriculture has received less interest to date. The objective of this study was to test the predictive performance of two types of RS data-crop height information derived from point clouds based on RGB UAV data, and reflectance information from terrestrial hyperspectral imagery-to predict fresh matter yield (FMY) for three vegetable crops (eggplant, tomato, and cabbage). The study was conducted in an experimental layout in Bengaluru, India, at five dates in summer 2017. The prediction accuracy varied strongly depending on the RS dataset used. For all crops, a good predictive performance with cross-validated prediction error < 10% was achieved. The growth stage of the crops had no significant effect on the prediction accuracy, although increasing trends of an underestimation of FMY with later sampling dates for eggplant and tomato were found. The study proves that an estimation of vegetable FMY using RS data is successful throughout the growing season. Different RS datasets were best for biomass prediction of the three vegetables, indicating that multi-sensory data collection should be preferred to single sensor use, as no one sensor system is superior. © 2020 by the authors.","Hyperspectral; Multi-source data combination; Point cloud analysis; Vegetable biomass",,Article,"Final","",Scopus,2-s2.0-85094663108
"Kaur G., Das K., Hazra J.","57211949899;57155755500;57189246557;","Soil Nutrients Prediction Using Remote Sensing Data in Western India: An Evaluation of Machine Learning Models",2020,"International Geoscience and Remote Sensing Symposium (IGARSS)",,,"9324201","4677","4680",,1,"10.1109/IGARSS39084.2020.9324201","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101969240&doi=10.1109%2fIGARSS39084.2020.9324201&partnerID=40&md5=c083a2d4e9e62575582db590951db145","Iiit Delhi, India; Ibm Research - India, India","Kaur, G., Iiit Delhi, India; Das, K., Ibm Research - India, India; Hazra, J., Ibm Research - India, India","Soil nutrient estimation can be used as a key input to increase crop yield and agriculture fertilization. Due to the shortage of the ground measured spectrum technology and costliness to obtain hyperspectral images, multispectral remote sensing data is used to explore the soil nutrient content estimation. In this paper, we have used optical remote sensing data (Landsat-8 and Sentinel-2), terrain/climate data (precipitation, radiation, slope etc.) and ground truth value to estimate four nutrients: N, K, P, and OC for two districts of Maharashtra, India. We compared four linear and non-linear regression models: multiple linear regression (MLR), random forest regression (RFR), support vector machine for regression (SVR) and gradient boosting (GB) for estimation of NPK and OC. Comparative results suggest that, GB and RFR performed better than other models with sMAPE in range of 0.125-0.377 for all nutrients, which is better or comparable with literature reported accuracy [1]. Therefore, the approach has potential to generate high resolution (< ha) soil nutrients map and can reduce soil sampling effort/cost. © 2020 IEEE.","estimation; multispectral; Soil nutrients","Agricultural robots; Agriculture; Decision trees; Geology; Linear regression; Nutrients; Predictive analytics; Soils; Spectroscopy; Support vector machines; Support vector regression; Gradient boosting; Machine learning models; Maharashtra , India; Multiple linear regressions; Multispectral remote sensing; Non-linear regression; Optical remote sensing data; Remote sensing data; Remote sensing",Conference Paper,"Final","",Scopus,2-s2.0-85101969240
